id_bien,date_mandat,type,ville,surface_m2,nb_pieces,etat,dpe,prix,agent,source,statut,date_vente,delai_vente_jours,nb_vues,nb_contacts,commission
69,2025-05-17,Appartement,Woippy,61,3,Bon,C,131000,Marc L.,Référence,Vendu,2025-07-15,59,55,8,4467
70,2024-02-23,Appartement,Woippy,34,1,Rénové,E,70000,Sofia R.,Vitrine,Vendu,2024-04-08,45,64,10,2558
71,2024-12-26,Appartement,Woippy,43,2,Neuf,G,80000,Élodie P.,Site agence,Vendu,2025-02-01,37,64,3,2768
72,2025-02-04,Appartement,Woippy,35,1,À rafraîchir,D,65000,Élodie P.,Référence,Vendu,2025-03-26,50,72,7,2399
73,2024-03-29,Studio,Woippy,26,1,À rafraîchir,D,50000,Élodie P.,SeLoger,Vendu,2024-05-10,42,47,8,1619
74,2024-02-27,Appartement,Woippy,79,3,À rafraîchir,D,135000,Camille D.,SeLoger,Vendu,2024-03-22,24,58,6,3495
75,2025-03-27,Appartement,Metz,105,4,Rénové,C,353000,Sofia R.,LeBonCoin,Vendu,2025-05-28,62,69,8,14742
76,2024-11-30,Appartement,Thionville,37,2,Neuf,D,97000,Camille D.,LeBonCoin,Vendu,2025-01-04,35,68,5,2860
77,2025-03-11,Appartement,Montigny,45,2,Travaux,B,106000,Camille D.,SeLoger,Compromis,,,109,15,3584
78,2025-06-18,Maison,Nancy,156,6,Travaux,A,344000,Marc L.,Vitrine,Compromis,,,88,16,12380
79,2024-02-05,Maison,Thionville,88,3,À rafraîchir,B,197000,Élodie P.,LeBonCoin,Vendu,2024-03-20,44,67,7,6991
80,2024-04-14,Studio,Metz,34,1,Rénové,G,99000,Yanis B.,Vitrine,Vendu,2024-06-10,57,80,13,3991
81,2025-03-04,Maison,Nancy,90,3,Bon,D,253000,Sofia R.,SeLoger,En cours,,,92,14,6460
82,2024-07-31,Appartement,Woippy,52,2,Neuf,B,126000,Marc L.,LeBonCoin,Vendu,2024-09-08,39,60,8,4389
83,2024-04-30,Studio,Woippy,19,1,Bon,G,30000,Camille D.,LeBonCoin,Vendu,2024-05-23,23,73,5,1051
84,2024-10-17,Appartement,Metz,60,2,Bon,C,163000,Camille D.,LeBonCoin,Vendu,2024-12-01,45,50,9,6923
85,2025-05-23,Appartement,Montigny,63,3,Bon,E,159000,Camille D.,SeLoger,Vendu,2025-07-01,39,93,13,5303
86,2024-04-03,Appartement,Woippy,95,4,Travaux,C,141000,Marc L.,Vitrine,Vendu,2024-04-23,20,79,9,4969
87,2024-08-16,Maison,Metz,146,6,Neuf,D,551000,Camille D.,SeLoger,Compromis,,,63,3,25513
88,2024-02-05,Maison,Montigny,146,6,À rafraîchir,E,353000,Marc L.,Référence,Vendu,2024-03-30,54,71,12,13189
89,2025-05-31,Appartement,Montigny,96,4,Bon,D,269000,Sofia R.,Site agence,Vendu,2025-07-22,52,48,5,8417
90,2024-12-04,Maison,Nancy,101,4,À rafraîchir,F,223000,Marc L.,LeBonCoin,En cours,,,104,20,7903
91,2025-04-20,Appartement,Nancy,56,2,À rafraîchir,E,114000,Marc L.,Référence,Compromis,,,88,10,4368
92,2024-10-24,Maison,Nancy,90,3,À rafraîchir,B,216000,Sofia R.,Vitrine,Vendu,2024-12-02,39,59,10,6971
93,2024-04-07,Appartement,Nancy,57,2,Bon,D,122000,Camille D.,SeLoger,Vendu,2024-04-20,13,110,10,4547
94,2024-05-09,Appartement,Thionville,103,4,À rafraîchir,G,184000,Sofia R.,Vitrine,Vendu,2024-07-02,54,37,7,4784
95,2024-09-06,Appartement,Woippy,72,3,Neuf,A,148000,Yanis B.,Vitrine,Vendu,2024-09-22,16,89,12,6057
96,2025-03-03,Maison,Woippy,106,4,À rafraîchir,G,190000,Élodie P.,Site agence,Vendu,2025-05-11,69,78,8,6950
97,2024-10-27,Appartement,Thionville,66,3,Rénové,B,147000,Camille D.,Vitrine,En cours,,,67,12,5224
98,2024-04-06,Appartement,Metz,87,4,À rafraîchir,C,213000,Élodie P.,Référence,Vendu,2024-05-11,35,61,10,7080
99,2024-08-21,Appartement,Nancy,77,3,Bon,C,192000,Yanis B.,LeBonCoin,Vendu,2024-09-28,38,72,12,6134
100,2024-01-24,Terrain,Montigny,1089,0,—,—,354000,Marc L.,Site agence,Vendu,2024-04-27,94,75,4,12929
101,2024-04-17,Terrain,Metz,414,0,—,—,128000,Camille D.,Vitrine,Vendu,2024-06-23,67,52,7,4362
102,2025-05-11,Maison,Metz,134,5,Rénové,E,413000,Camille D.,LeBonCoin,En cours,,,89,10,12932
103,2025-03-04,Appartement,Montigny,48,2,Travaux,F,94000,Camille D.,Vitrine,Compromis,,,67,5,3508
104,2025-03-31,Terrain,Montigny,633,0,—,—,194000,Camille D.,Référence,Vendu,2025-06-19,80,79,11,7769
105,2025-04-01,Studio,Nancy,33,1,Rénové,B,108000,Camille D.,Site agence,Vendu,2025-05-13,42,55,9,3989
106,2024-08-27,Maison,Metz,187,7,À rafraîchir,D,440000,Sofia R.,LeBonCoin,Retiré,,,85,13,15469
107,2024-09-30,Appartement,Woippy,55,2,Bon,D,102000,Marc L.,SeLoger,Vendu,2024-10-28,28,94,15,3617
108,2025-05-31,Appartement,Thionville,57,2,À rafraîchir,F,119000,Camille D.,Vitrine,Retiré,,,45,6,5259
109,2025-04-16,Appartement,Nancy,80,3,Rénové,E,205000,Marc L.,Référence,Vendu,2025-05-16,30,74,7,7399
110,2025-03-22,Terrain,Nancy,1139,0,—,—,335000,Yanis B.,SeLoger,En cours,,,50,7,11674
111,2025-04-10,Maison,Montigny,126,5,Neuf,D,445000,Marc L.,Référence,Vendu,2025-06-09,60,44,7,15518
112,2024-05-14,Appartement,Montigny,64,3,Rénové,A,183000,Camille D.,SeLoger,Vendu,2024-06-06,23,78,12,6944
113,2024-04-20,Appartement,Metz,33,1,À rafraîchir,F,62000,Yanis B.,Vitrine,Vendu,2024-05-04,14,79,15,2325
114,2024-04-26,Maison,Woippy,97,4,Neuf,B,241000,Yanis B.,SeLoger,Vendu,2024-06-18,53,91,6,8010
115,2025-04-19,Appartement,Metz,31,1,Bon,D,78000,Sofia R.,Site agence,Vendu,2025-05-08,19,91,10,2827
116,2024-05-14,Studio,Thionville,20,1,À rafraîchir,C,46000,Yanis B.,Référence,Vendu,2024-06-22,39,60,9,1612
117,2024-06-09,Studio,Montigny,29,1,Bon,C,88000,Élodie P.,LeBonCoin,En cours,,,95,13,2893
118,2025-01-03,Maison,Nancy,178,7,Neuf,D,541000,Yanis B.,Référence,Vendu,2025-02-16,44,85,9,26097
119,2025-02-13,Appartement,Woippy,68,3,Bon,D,143000,Élodie P.,Site agence,Vendu,2025-04-09,55,47,6,4650
120,2024-09-17,Maison,Metz,153,6,Travaux,D,394000,Camille D.,LeBonCoin,Vendu,2024-11-28,72,43,3,16178
121,2025-02-18,Maison,Montigny,139,5,À rafraîchir,A,378000,Camille D.,Référence,Vendu,2025-04-06,47,64,4,13926
122,2025-02-13,Maison,Nancy,136,5,Rénové,F,358000,Élodie P.,Référence,En cours,,,72,12,10450
123,2024-05-23,Appartement,Thionville,58,2,Bon,G,114000,Sofia R.,Vitrine,Compromis,,,75,10,3257
124,2025-03-24,Appartement,Nancy,61,3,Bon,D,171000,Camille D.,Référence,Vendu,2025-05-18,55,62,10,6366
125,2024-09-30,Appartement,Thionville,35,1,Bon,D,86000,Sofia R.,LeBonCoin,Retiré,,,52,5,3186
126,2024-05-04,Maison,Montigny,141,5,À rafraîchir,D,353000,Élodie P.,Référence,En cours,,,83,6,13388
127,2024-11-10,Appartement,Thionville,28,1,Neuf,F,67000,Sofia R.,Vitrine,Vendu,2024-12-17,37,80,9,2858
128,2024-04-08,Appartement,Thionville,39,2,Travaux,D,71000,Camille D.,SeLoger,En cours,,,84,12,2452
129,2024-06-12,Appartement,Woippy,104,4,Bon,C,180000,Marc L.,SeLoger,Vendu,2024-07-05,23,100,15,6733
130,2025-02-22,Maison,Montigny,168,6,À rafraîchir,E,439000,Camille D.,LeBonCoin,Retiré,,,55,7,12457
131,2024-08-12,Appartement,Woippy,78,3,Rénové,F,141000,Sofia R.,Vitrine,Vendu,2024-09-19,38,83,4,5566
132,2025-06-06,Terrain,Montigny,930,0,—,—,288000,Camille D.,Site agence,Vendu,2025-08-26,81,77,4,7295
133,2024-11-04,Maison,Woippy,137,5,Rénové,E,277000,Sofia R.,Référence,Vendu,2024-12-17,43,47,5,10188
134,2024-07-19,Appartement,Woippy,39,2,Rénové,C,83000,Élodie P.,Vitrine,En cours,,,60,9,2623
135,2024-05-12,Maison,Thionville,207,8,Bon,F,434000,Yanis B.,Site agence,Vendu,2024-06-28,47,38,2,12928
136,2024-09-14,Appartement,Woippy,55,2,À rafraîchir,C,86000,Élodie P.,Vitrine,Vendu,2024-09-28,14,82,14,3494
137,2025-04-21,Terrain,Nancy,585,0,—,—,168000,Sofia R.,Référence,Vendu,2025-06-30,70,71,10,6542
138,2024-08-12,Maison,Montigny,141,5,Bon,C,414000,Yanis B.,LeBonCoin,Compromis,,,97,10,16593
139,2024-09-04,Studio,Montigny,16,1,Bon,F,42000,Yanis B.,Référence,Vendu,2024-10-08,34,60,3,1587
140,2025-02-25,Appartement,Woippy,92,4,Travaux,A,164000,Sofia R.,Site agence,En cours,,,69,6,6267
141,2024-01-26,Maison,Nancy,227,8,Bon,D,597000,Camille D.,Vitrine,Vendu,2024-03-14,48,87,4,19436
142,2025-06-10,Maison,Montigny,147,6,Bon,B,448000,Yanis B.,SeLoger,Vendu,2025-08-02,53,61,6,17430
143,2024-09-29,Terrain,Woippy,1087,0,—,—,207000,Marc L.,SeLoger,Vendu,2024-11-23,55,86,15,7829
144,2024-06-13,Maison,Woippy,100,4,Neuf,D,261000,Sofia R.,Référence,Vendu,2024-08-10,58,83,12,9965
145,2024-09-09,Maison,Montigny,185,7,Bon,F,490000,Sofia R.,SeLoger,Vendu,2024-11-10,62,70,7,19633
146,2025-02-06,Appartement,Montigny,111,5,Rénové,F,273000,Yanis B.,Vitrine,En cours,,,46,7,8908
147,2024-10-07,Appartement,Montigny,74,3,Bon,C,213000,Élodie P.,LeBonCoin,Vendu,2024-11-27,51,75,6,7589
148,2024-01-21,Maison,Thionville,114,4,Rénové,C,301000,Marc L.,LeBonCoin,En cours,,,72,7,10035
149,2025-02-11,Appartement,Thionville,47,2,Travaux,F,75000,Yanis B.,Vitrine,Vendu,2025-03-19,36,62,10,2834
150,2025-02-17,Appartement,Montigny,42,2,À rafraîchir,C,98000,Camille D.,LeBonCoin,En cours,,,48,9,3727
151,2025-02-19,Studio,Nancy,28,1,À rafraîchir,D,63000,Élodie P.,LeBonCoin,En cours,,,64,5,2429
152,2024-08-01,Studio,Thionville,24,1,Bon,F,52000,Yanis B.,SeLoger,Compromis,,,74,8,2039
153,2024-09-28,Appartement,Metz,69,3,Rénové,C,202000,Camille D.,Site agence,Vendu,2024-11-02,35,90,7,9363
154,2024-03-20,Maison,Montigny,204,8,Bon,B,612000,Élodie P.,LeBonCoin,En cours,,,89,7,21831
155,2024-02-04,Appartement,Nancy,61,3,Bon,F,135000,Marc L.,Vitrine,Vendu,2024-03-11,36,72,10,4538
156,2024-06-24,Maison,Nancy,99,4,Bon,E,249000,Marc L.,Vitrine,Vendu,2024-08-03,40,60,11,9790
157,2024-02-19,Appartement,Nancy,95,4,Rénové,F,217000,Marc L.,LeBonCoin,Vendu,2024-03-17,27,62,7,7769
158,2025-01-15,Maison,Montigny,110,4,Neuf,A,386000,Élodie P.,Site agence,Vendu,2025-03-13,57,77,4,12734
159,2024-06-23,Maison,Montigny,91,4,Bon,D,282000,Yanis B.,Référence,Compromis,,,54,5,10476
160,2024-12-04,Studio,Metz,19,1,Bon,C,56000,Marc L.,SeLoger,Vendu,2024-12-31,27,75,10,2314
161,2024-02-04,Appartement,Metz,108,4,Bon,E,299000,Camille D.,LeBonCoin,En cours,,,87,5,10027
162,2025-01-25,Terrain,Thionville,327,0,—,—,73000,Sofia R.,Vitrine,Vendu,2025-03-27,61,66,10,2469
163,2024-04-28,Appartement,Metz,36,2,À rafraîchir,E,90000,Marc L.,Référence,Compromis,,,53,5,3900
164,2025-02-15,Appartement,Thionville,71,3,Rénové,C,187000,Yanis B.,LeBonCoin,Vendu,2025-04-07,51,45,4,7287
165,2024-01-06,Maison,Metz,76,3,À rafraîchir,G,175000,Yanis B.,SeLoger,Vendu,2024-02-29,54,36,4,5647
166,2025-04-28,Appartement,Montigny,53,2,Travaux,B,120000,Camille D.,Site agence,Vendu,2025-06-07,40,78,7,4732
167,2024-01-21,Studio,Woippy,25,1,Neuf,D,64000,Camille D.,LeBonCoin,Retiré,,,70,13,2041
168,2024-11-09,Studio,Metz,26,1,Bon,F,71000,Sofia R.,SeLoger,Vendu,2024-12-19,40,76,13,3274
169,2024-02-09,Appartement,Thionville,56,2,À rafraîchir,C,123000,Marc L.,LeBonCoin,Vendu,2024-04-08,59,105,18,4301
170,2024-05-08,Terrain,Woippy,948,0,—,—,193000,Élodie P.,Vitrine,Vendu,2024-07-23,76,66,8,7151
171,2024-01-31,Appartement,Montigny,78,3,Bon,F,191000,Marc L.,SeLoger,Vendu,2024-03-19,48,65,7,8774
172,2024-06-15,Maison,Nancy,122,5,Rénové,C,381000,Sofia R.,Site agence,En cours,,,36,5,14355
173,2024-03-24,Appartement,Woippy,36,2,Neuf,A,89000,Élodie P.,SeLoger,Vendu,2024-05-17,54,84,13,3593
174,2024-01-09,Terrain,Nancy,783,0,—,—,248000,Marc L.,SeLoger,Vendu,2024-04-03,85,65,5,10666
175,2025-02-09,Appartement,Thionville,47,2,À rafraîchir,F,72000,Sofia R.,Site agence,Vendu,2025-02-22,13,86,8,3117
176,2024-10-17,Appartement,Woippy,71,3,Bon,B,157000,Camille D.,LeBonCoin,Vendu,2024-12-08,52,54,10,5118
177,2025-04-29,Appartement,Thionville,101,4,À rafraîchir,B,197000,Élodie P.,Site agence,Retiré,,,75,12,7073
178,2025-01-11,Terrain,Woippy,1126,0,—,—,226000,Marc L.,Vitrine,Vendu,2025-03-16,64,84,9,8321
179,2024-10-18,Studio,Montigny,19,1,Bon,D,53000,Marc L.,Site agence,Compromis,,,71,9,2086
180,2025-03-01,Maison,Thionville,173,7,Bon,D,383000,Sofia R.,Site agence,Vendu,2025-04-02,32,79,10,10537
181,2024-05-01,Studio,Nancy,17,1,À rafraîchir,F,41000,Camille D.,Site agence,Vendu,2024-06-18,48,56,6,1135
182,2024-01-30,Studio,Nancy,25,1,Rénové,C,85000,Marc L.,Référence,Vendu,2024-03-28,58,62,5,2627
183,2025-02-20,Maison,Metz,131,5,À rafraîchir,B,327000,Élodie P.,Vitrine,Retiré,,,64,7,13401
184,2024-10-25,Appartement,Woippy,85,4,Rénové,F,190000,Yanis B.,Référence,Vendu,2025-01-03,70,54,10,7653
185,2025-05-19,Studio,Woippy,17,1,Bon,E,37000,Marc L.,Vitrine,Vendu,2025-07-02,44,40,2,1183
186,2024-10-23,Maison,Nancy,106,4,Rénové,B,361000,Élodie P.,Vitrine,Vendu,2025-01-02,71,66,12,12731
187,2024-12-06,Appartement,Metz,111,5,Bon,E,305000,Camille D.,Référence,Vendu,2025-01-23,48,96,13,11550
188,2024-10-01,Appartement,Nancy,99,4,Bon,C,249000,Élodie P.,Référence,Retiré,,,84,6,9976
189,2024-12-13,Maison,Montigny,150,6,Travaux,C,381000,Élodie P.,Site agence,Vendu,2025-02-21,70,70,8,14835
190,2024-10-06,Appartement,Thionville,38,2,Bon,D,81000,Yanis B.,SeLoger,Vendu,2024-11-15,40,77,15,3037
191,2024-10-21,Terrain,Thionville,602,0,—,—,132000,Marc L.,LeBonCoin,Vendu,2024-12-17,57,105,7,5171
192,2024-04-17,Appartement,Nancy,59,2,Neuf,D,182000,Yanis B.,Vitrine,Vendu,2024-06-06,50,84,9,6912
193,2024-06-10,Appartement,Thionville,103,4,Travaux,B,195000,Sofia R.,SeLoger,Vendu,2024-07-30,50,76,8,6965
194,2024-03-21,Studio,Thionville,30,1,Bon,C,75000,Marc L.,Site agence,Vendu,2024-04-22,32,68,11,2149
195,2024-04-18,Appartement,Metz,39,2,À rafraîchir,F,90000,Élodie P.,SeLoger,Vendu,2024-06-01,44,90,7,3738
196,2024-07-05,Appartement,Metz,90,4,Rénové,C,283000,Camille D.,SeLoger,Vendu,2024-08-29,55,72,10,10903
197,2025-03-19,Maison,Nancy,103,4,Rénové,E,292000,Marc L.,Site agence,Vendu,2025-05-10,52,79,7,10901
198,2025-03-31,Studio,Woippy,31,1,Travaux,D,55000,Sofia R.,SeLoger,Vendu,2025-05-05,35,56,10,2098
199,2025-03-28,Appartement,Montigny,95,4,Bon,D,270000,Yanis B.,SeLoger,Vendu,2025-05-17,50,52,9,10883
200,2024-08-30,Appartement,Nancy,54,2,Bon,D,129000,Camille D.,Référence,Vendu,2024-09-30,31,88,15,5628
201,2024-03-26,Studio,Thionville,31,1,Bon,C,82000,Camille D.,Vitrine,Vendu,2024-05-24,59,54,4,3064
202,2025-06-15,Terrain,Nancy,473,0,—,—,154000,Yanis B.,SeLoger,Vendu,2025-09-16,93,63,11,5338
203,2025-01-17,Maison,Metz,200,8,Bon,F,584000,Marc L.,Référence,Vendu,2025-03-28,70,69,13,19138
204,2024-05-04,Appartement,Woippy,30,1,Bon,G,51000,Yanis B.,SeLoger,Vendu,2024-06-11,38,68,11,1681
205,2025-02-26,Appartement,Montigny,50,2,Rénové,D,141000,Sofia R.,Référence,Vendu,2025-04-03,36,63,8,6027
206,2024-10-13,Appartement,Montigny,98,4,À rafraîchir,D,202000,Sofia R.,Site agence,Vendu,2024-11-01,19,97,15,8278
207,2024-09-25,Appartement,Metz,96,4,Neuf,C,265000,Élodie P.,Vitrine,Vendu,2024-10-04,9,64,11,9417
208,2024-10-10,Maison,Montigny,178,7,Bon,F,480000,Camille D.,Site agence,Vendu,2024-12-06,57,80,15,18165
209,2024-03-30,Appartement,Metz,99,4,À rafraîchir,F,228000,Camille D.,Référence,Vendu,2024-05-17,48,51,7,8498
210,2024-02-28,Maison,Montigny,88,3,Bon,C,231000,Sofia R.,Référence,Vendu,2024-03-30,31,70,9,7711
211,2025-02-02,Maison,Montigny,82,3,Travaux,F,168000,Marc L.,Vitrine,Vendu,2025-03-20,46,67,10,6058
212,2024-11-17,Maison,Metz,79,3,Rénové,C,285000,Marc L.,Vitrine,Vendu,2025-01-26,70,83,6,10355
213,2024-01-19,Appartement,Nancy,64,3,Bon,C,177000,Yanis B.,LeBonCoin,Vendu,2024-03-06,47,77,7,7080
214,2025-02-02,Studio,Woippy,34,1,Bon,C,69000,Marc L.,Vitrine,Vendu,2025-02-19,17,101,11,2765
215,2024-12-16,Maison,Thionville,173,7,Rénové,D,458000,Yanis B.,Référence,Compromis,,,62,7,15094
216,2024-05-07,Maison,Thionville,164,6,Neuf,E,426000,Sofia R.,Site agence,Vendu,2024-06-27,51,63,10,18283
217,2024-08-21,Appartement,Nancy,68,3,À rafraîchir,D,159000,Élodie P.,LeBonCoin,Vendu,2024-10-05,45,78,5,5718
